atributo,importancia
categorical__tracado_via_Reta;Aclive;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Aclive;Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Reta;Aclive;Rotatória,0.0
categorical__tracado_via_Reta;Aclive;Rotatória;Interseção de Vias,0.0
categorical__tracado_via_Reta;Aclive;Viaduto,0.0
categorical__tracado_via_Reta;Em Obras;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Em Obras;Rotatória;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Interseção de Vias,0.0
categorical__tracado_via_Reta;Rotatória;Interseção de Vias,0.0
categorical__tracado_via_Reta;Túnel,0.0
categorical__tracado_via_Reta;Túnel;Aclive;Interseção de Vias,0.0
categorical__tracado_via_Reta;Viaduto,0.0
categorical__tracado_via_Reta;Viaduto;Aclive,0.0
categorical__tracado_via_Reta;Viaduto;Declive,0.0
categorical__tracado_via_Reta;Viaduto;Em Obras,0.0
categorical__tracado_via_Reta;Viaduto;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Viaduto;Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Retorno Regulamentado,0.0
categorical__tracado_via_Retorno Regulamentado;Aclive,0.0
categorical__tracado_via_Retorno Regulamentado;Aclive;Interseção de Vias;Rotatória;Curva,0.0
categorical__tracado_via_Retorno Regulamentado;Aclive;Reta,0.0
categorical__tracado_via_Retorno Regulamentado;Curva,0.0
categorical__tracado_via_Retorno Regulamentado;Curva;Aclive,0.0
categorical__tracado_via_Retorno Regulamentado;Curva;Declive,0.0
categorical__tracado_via_Retorno Regulamentado;Curva;Interseção de Vias,0.0
categorical__tracado_via_Retorno Regulamentado;Curva;Viaduto,0.0
categorical__tracado_via_Retorno Regulamentado;Declive,0.0
categorical__tracado_via_Retorno Regulamentado;Declive;Curva,0.0
categorical__tracado_via_Retorno Regulamentado;Declive;Em Obras;Reta,0.0
categorical__tracado_via_Retorno Regulamentado;Declive;Interseção de Vias,0.0
categorical__tracado_via_Reta;Rotatória;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Rotatória;Declive;Interseção de Vias;Viaduto,0.0
categorical__tracado_via_Reta;Interseção de Vias;Aclive,0.0
categorical__tracado_via_Reta;Rotatória;Declive,0.0
categorical__tracado_via_Reta;Interseção de Vias;Declive,0.0
categorical__tracado_via_Reta;Interseção de Vias;Declive;Viaduto,0.0
categorical__tracado_via_Reta;Interseção de Vias;Desvio Temporário;Em Obras,0.0
categorical__tracado_via_Reta;Interseção de Vias;Em Obras,0.0
categorical__tracado_via_Reta;Interseção de Vias;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Interseção de Vias;Retorno Regulamentado;Aclive,0.0
categorical__tracado_via_Reta;Interseção de Vias;Rotatória,0.0
categorical__tracado_via_Reta;Interseção de Vias;Rotatória;Aclive,0.0
categorical__tracado_via_Reta;Interseção de Vias;Rotatória;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Interseção de Vias;Viaduto,0.0
categorical__tracado_via_Reta;Interseção de Vias;Viaduto;Declive,0.0
categorical__tracado_via_Reta;Ponte,0.0
categorical__tracado_via_Reta;Ponte;Aclive,0.0
categorical__tracado_via_Reta;Ponte;Declive,0.0
categorical__tracado_via_Reta;Ponte;Em Obras,0.0
categorical__tracado_via_Reta;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Retorno Regulamentado;Aclive,0.0
categorical__tracado_via_Reta;Retorno Regulamentado;Declive,0.0
categorical__tracado_via_Reta;Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Reta;Retorno Regulamentado;Rotatória,0.0
categorical__tracado_via_Reta;Rotatória,0.0
categorical__tracado_via_Declive;Curva;Ponte,0.0
categorical__uf_(null),0.0
categorical__tracado_via_Declive;Curva;Interseção de Vias,0.0
categorical__br_601,0.0
categorical__br_463,0.0
categorical__br_465,0.0
categorical__br_467,0.0
categorical__br_468,0.0
categorical__br_469,0.0
categorical__br_470,0.0
categorical__br_471,0.0
categorical__br_472,0.0
categorical__br_473,0.0
categorical__br_474,0.0
categorical__br_476,0.0
categorical__br_480,0.0
